Number,Letter
0,अ
1,आ
2,इ
3,ई
4,उ
5,ऊ
6,ए
7,ऐ
8,ओ
9,औ
10,अं
11,अः
12,क
13,का
14,कि
15,की
16,कु
17,कू
18,के
19,कै
20,को
21,कौ
22,कं
23,कः
24,ख
25,खा
26,खि
27,खी
28,खु
29,खू
30,खे
31,खै
32,खो
33,खौ
34,खं
35,खः
36,ग
37,गा
38,गि
39,गी
40,गु
41,गू
42,गे
43,गै
44,गो
45,गौ
46,गं
47,गः
48,घ
49,घा
50,घि
51,घी
52,घु
53,घू
54,घे
55,घै
56,घो
57,घौ
58,घं
59,घः
60,च
61,चा
62,चि
63,ची
64,चु
65,चू
66,चे
67,चै
68,चो
69,चौ
70,चं
71,चः
72,छ
73,छा
74,छि
75,छी
76,छु
77,छू
78,छे
79,छै
80,छो
81,छौ
82,छं
83,छः
84,ज
85,जा
86,जि
87,जी
88,जु
89,जू
90,जे
91,जै
92,जो
93,जौ
94,जं
95,जः
96,झ
97,झा
98,झि
99,झी
100,झु
101,झू
102,झे
103,झै
104,झो
105,झौ
106,झं
107,झः
108,ट
109,टा
110,टि
111,टी
112,टु
113,टू
114,टे
115,टै
116,टो
117,टौ
118,टं
119,टः
120,ठ
121,ठा
122,ठि
123,ठी
124,ठु
125,ठू
126,ठे
127,ठै
128,ठो
129,ठौ
130,ठं
131,ठः
132,ड
133,डा
134,डि
135,डी
136,डु
137,डू
138,डे
139,डै
140,डो
141,डौ
142,डं
143,डः
144,ढ
145,ढा
146,ढि
147,ढी
148,ढु
149,ढू
150,ढे
151,ढै
152,ढो
153,ढौ
154,ढं
155,ढः
156,ण
157,णा
158,णि
159,णी
160,णु
161,णू
162,णे
163,णै
164,णो
165,णौ
166,णं
167,णः
168,त
169,ता
170,ति
171,ती
172,तु
173,तू
174,ते
175,तै
176,तो
177,तौ
178,तं
179,तः
180,थ
181,था
182,थि
183,थी
184,थु
185,थू
186,थे
187,थै
188,थो
189,थौ
190,थं
191,थः
192,द
193,दा
194,दि
195,दी
196,दु
197,दू
198,दे
199,दै
200,दो
201,दौ
202,दं
203,दः
204,ध
205,धा
206,धि
207,धी
208,धु
209,धू
210,धे
211,धै
212,धो
213,धौ
214,धं
215,धः
216,न
217,ना
218,नि
219,नी
220,नु
221,नू
222,ने
223,नै
224,नो
225,नौ
226,नं
227,नः
